GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
foodi,no.ntnu.idatt1005.foodi.view.utils,LoadUtils,105,0,10,0,33,0,12,0,7,0
foodi,no.ntnu.idatt1005.foodi.view.utils,ComponentUtils,70,0,6,0,25,0,11,0,8,0
foodi,no.ntnu.idatt1005.foodi.view.utils,DialogComponentUtils,8,0,0,0,2,0,2,0,2,0
foodi,no.ntnu.idatt1005.foodi.view.utils,ColorUtils,39,0,0,0,7,0,2,0,2,0
foodi,no.ntnu.idatt1005.foodi.view.utils,FontLoader,108,0,12,0,26,0,11,0,5,0
foodi,no.ntnu.idatt1005.foodi.view,Root,100,0,0,0,27,0,8,0,8,0
foodi,no.ntnu.idatt1005.foodi.view,Paginator,157,0,14,0,37,0,24,0,17,0
foodi,no.ntnu.idatt1005.foodi.model.repository,ConnectionPool,7,28,0,0,2,9,1,2,1,2
foodi,no.ntnu.idatt1005.foodi.model.repository,Database,80,2805,0,6,25,92,2,17,2,14
foodi,no.ntnu.idatt1005.foodi.model.daos,ShoppingListDao,7,423,5,23,1,122,5,27,0,18
foodi,no.ntnu.idatt1005.foodi.model.daos,RecipeDao,126,301,4,10,47,93,8,16,5,12
foodi,no.ntnu.idatt1005.foodi.model.daos,UserDao,7,151,5,9,3,46,5,15,0,13
foodi,no.ntnu.idatt1005.foodi.model.daos,QueryBuilder,106,166,2,4,37,41,13,20,11,19
foodi,no.ntnu.idatt1005.foodi.model.daos,IngredientDao,141,428,12,16,42,129,17,27,6,24
foodi,no.ntnu.idatt1005.foodi.controller.pages,PageController,14,0,0,0,6,0,2,0,2,0
foodi,no.ntnu.idatt1005.foodi.controller.pages,CookbookGridController,288,0,6,0,44,0,20,0,17,0
foodi,no.ntnu.idatt1005.foodi.controller.pages,ProfilesController,61,0,2,0,19,0,7,0,6,0
foodi,no.ntnu.idatt1005.foodi.controller.pages,RecipePageController,88,0,6,0,25,0,9,0,6,0
foodi,no.ntnu.idatt1005.foodi.controller.pages,InventoryController,292,0,16,0,82,0,21,0,13,0
foodi,no.ntnu.idatt1005.foodi.controller.pages,ShoppingListController,401,0,32,0,105,0,31,0,15,0
foodi,no.ntnu.idatt1005.foodi.view.views,About,30,0,0,0,9,0,1,0,1,0
foodi,no.ntnu.idatt1005.foodi.view.views,ShoppingList,131,0,6,0,36,0,12,0,9,0
foodi,no.ntnu.idatt1005.foodi.view.views,Profiles,24,0,0,0,9,0,4,0,4,0
foodi,no.ntnu.idatt1005.foodi.view.views,CookbookGrid,55,0,2,0,13,0,3,0,2,0
foodi,no.ntnu.idatt1005.foodi.view.views,Inventory,163,0,2,0,32,0,12,0,11,0
foodi,no.ntnu.idatt1005.foodi.view.views,RecipePage,512,0,10,0,100,0,12,0,7,0
foodi,no.ntnu.idatt1005.foodi.view.components,CenteredPage,13,0,0,0,6,0,2,0,2,0
foodi,no.ntnu.idatt1005.foodi.view.components,TitledPage,72,0,4,0,21,0,5,0,3,0
foodi,no.ntnu.idatt1005.foodi.view.components,StatefulPage,15,0,2,0,8,0,4,0,3,0
foodi,no.ntnu.idatt1005.foodi.view.components.cookbook,RecipeCard,356,0,4,0,49,0,6,0,4,0
foodi,no.ntnu.idatt1005.foodi.view.components.cookbook,RecipeCardRow,59,0,2,0,12,0,2,0,1,0
foodi,no.ntnu.idatt1005.foodi.view.components.shoppinglist,RecipeCard.RecipeServings,19,0,0,0,5,0,1,0,1,0
foodi,no.ntnu.idatt1005.foodi.view.components.shoppinglist,RecipeCard,154,0,6,0,30,0,4,0,1,0
foodi,no.ntnu.idatt1005.foodi.view.components.shoppinglist,ShoppingListCategoryGroup,63,0,2,0,12,0,2,0,1,0
foodi,no.ntnu.idatt1005.foodi.view.components.shoppinglist,ShoppingListCategoryItem,39,0,0,0,11,0,1,0,1,0
foodi,no.ntnu.idatt1005.foodi.view.components.shoppinglist,ShoppingListWrapper,77,0,2,0,17,0,6,0,5,0
foodi,no.ntnu.idatt1005.foodi.view.components.shoppinglist,AddedRecipes,48,0,2,0,11,0,2,0,1,0
foodi,no.ntnu.idatt1005.foodi.view.components.shoppinglist,AddIngredientsExpirationDialog,111,0,10,0,28,0,10,0,5,0
foodi,no.ntnu.idatt1005.foodi.view.components.shoppinglist,IngredientGrouper.IngredientCategoryGroup,15,0,0,0,1,0,3,0,3,0
foodi,no.ntnu.idatt1005.foodi.view.components.shoppinglist,RecipeCard.RemovedPartOfIngredientItem,44,0,0,0,7,0,1,0,1,0
foodi,no.ntnu.idatt1005.foodi.view.components.shoppinglist,IngredientGrouper,167,0,14,0,31,0,12,0,5,0
foodi,no.ntnu.idatt1005.foodi.view.components.shoppinglist,RecipeCard.KeptPartOfIngredientItem,30,0,0,0,7,0,1,0,1,0
foodi,no.ntnu.idatt1005.foodi.view.components.shoppinglist,AddIngredientsExpirationDialog.IngredientExpirationQuery,69,0,4,0,22,0,5,0,3,0
foodi,no.ntnu.idatt1005.foodi.view.components.button,StandardButton,82,0,4,0,28,0,10,0,8,0
foodi,no.ntnu.idatt1005.foodi.view.components.button,StandardCheckBoxHandler,212,0,26,0,57,0,25,0,11,0
foodi,no.ntnu.idatt1005.foodi.view.components.button,DropdownButton,99,0,6,0,32,0,13,0,10,0
foodi,no.ntnu.idatt1005.foodi.view.components.button,StandardCheckBox,23,0,0,0,10,0,3,0,3,0
foodi,no.ntnu.idatt1005.foodi.view.components.button,DoubleButton,23,0,0,0,7,0,1,0,1,0
foodi,no.ntnu.idatt1005.foodi.view.components.button,StandardButton.Style,67,0,0,0,12,0,2,0,2,0
foodi,no.ntnu.idatt1005.foodi.view.location,Router,97,0,12,0,29,0,11,0,5,0
foodi,no.ntnu.idatt1005.foodi.view.location,LocationHandler,106,0,10,0,29,0,21,0,16,0
foodi,no.ntnu.idatt1005.foodi.view.exceptions,ValidationException,4,0,0,0,2,0,1,0,1,0
foodi,no.ntnu.idatt1005.foodi.view.components.dialog,NamedInputField,25,0,0,0,5,0,1,0,1,0
foodi,no.ntnu.idatt1005.foodi.view.components.dialog,StandardDialog,117,0,0,0,31,0,8,0,8,0
foodi,no.ntnu.idatt1005.foodi.view.components.dialog,InvalidInputDialog,11,0,0,0,5,0,1,0,1,0
foodi,no.ntnu.idatt1005.foodi,Main,33,0,0,0,11,0,3,0,3,0
foodi,no.ntnu.idatt1005.foodi.controller,ApplicationController,71,0,0,0,13,0,2,0,2,0
foodi,no.ntnu.idatt1005.foodi.view.components.sidebar,SideBarItem,15,0,2,0,5,0,2,0,1,0
foodi,no.ntnu.idatt1005.foodi.view.components.sidebar,SideBar,161,0,2,0,27,0,5,0,4,0
foodi,no.ntnu.idatt1005.foodi.model.objects.dtos,AmountedIngredient,57,53,1,1,11,13,5,4,4,4
foodi,no.ntnu.idatt1005.foodi.model.objects.dtos,User,12,15,0,0,1,1,1,3,1,3
foodi,no.ntnu.idatt1005.foodi.model.objects.dtos,PartiallyRemovedAmountedIngredient,63,24,1,1,13,11,5,2,4,2
foodi,no.ntnu.idatt1005.foodi.model.objects.dtos,Recipe,17,79,0,0,1,32,1,16,1,16
foodi,no.ntnu.idatt1005.foodi.model.objects.dtos,ShoppingList,20,0,0,0,8,0,4,0,4,0
foodi,no.ntnu.idatt1005.foodi.model.objects.dtos,Recipe.Difficulty,38,38,4,0,7,8,6,2,4,2
foodi,no.ntnu.idatt1005.foodi.model.objects.dtos,Ingredient.Category,12,154,1,3,3,23,3,6,2,5
foodi,no.ntnu.idatt1005.foodi.model.objects.dtos,ExpiringIngredient,92,38,0,0,23,14,5,7,5,7
foodi,no.ntnu.idatt1005.foodi.model.objects.dtos,Recipe.DietaryTag,38,78,4,0,7,13,6,2,4,2
foodi,no.ntnu.idatt1005.foodi.model.objects.dtos,RecipeWithPartiallyRemovedIngredients,33,32,1,1,14,10,3,4,2,4
foodi,no.ntnu.idatt1005.foodi.model.objects.dtos,GroupedExpiringIngredients,124,0,8,0,27,0,11,0,7,0
foodi,no.ntnu.idatt1005.foodi.model.objects.dtos,RecipeWithIngredients,0,22,0,0,0,6,0,3,0,3
foodi,no.ntnu.idatt1005.foodi.model.objects.dtos,Ingredient.Unit,9,147,1,3,2,23,2,6,1,5
foodi,no.ntnu.idatt1005.foodi.model.objects.dtos,Ingredient,93,39,12,0,14,16,11,8,5,8
foodi,no.ntnu.idatt1005.foodi.view.components.profiles,NewUserDialog,70,0,4,0,18,0,5,0,3,0
foodi,no.ntnu.idatt1005.foodi.view.components.profiles,ProfileItems,59,0,2,0,12,0,3,0,2,0
foodi,no.ntnu.idatt1005.foodi.view.components.profiles,AddProfileButton,53,0,0,0,11,0,2,0,2,0
foodi,no.ntnu.idatt1005.foodi.view.components.profiles,ProfileItem,46,0,0,0,9,0,2,0,2,0
foodi,no.ntnu.idatt1005.foodi.view.components.inventorylist,InventoryListItem,239,0,8,0,41,0,9,0,5,0
foodi,no.ntnu.idatt1005.foodi.view.components.inventorylist,InventoryExpirationDate,138,0,10,0,24,0,6,0,1,0
foodi,no.ntnu.idatt1005.foodi.view.components.inventorylist,InventoryListProgressBar,110,0,6,0,28,0,8,0,5,0
foodi,no.ntnu.idatt1005.foodi.view.components.inventorylist,InventoryList,298,0,8,0,53,0,10,0,6,0
foodi,no.ntnu.idatt1005.foodi.view.components.inventorylist,InventoryListSubItem,191,0,2,0,31,0,6,0,5,0
foodi,no.ntnu.idatt1005.foodi.view.components.inventorylist,AddItemDialog,267,0,8,0,57,0,13,0,9,0
foodi,no.ntnu.idatt1005.foodi.view.components.inventorylist,InventoryListInput,52,0,4,0,19,0,6,0,4,0
